#Organism/Name TaxID
Emiliania huxleyi
Arabidopsis thaliana
Glycine max
Medicago truncatula
Solanum lycopersicum
Hordeum vulgare
Oryza sativa
Triticum aestivum
Saccharomyces cerevisiae
Zea mays
Pneumocystis carinii
Schizosaccharomyces pombe
Aspergillus nidulans
Aspergillus fumigatus
Phanerochaete chrysosporium
Candida albicans
Neurospora crassa
Leishmania major
Trypanosoma brucei
Trypanosoma cruzi
Giardia lamblia
Entamoeba histolytica
Eimeria tenella
Cryptosporidium parvum
Toxoplasma gondii
Plasmodium berghei
Plasmodium chabaudi
Plasmodium knowlesi
Plasmodium vivax
Babesia bovis
Theileria annulata
Theileria parva
Encephalitozoon cuniculi
Plasmodium falciparum
Caenorhabditis briggsae
Caenorhabditis elegans
Brugia malayi
Aedes aegypti
Aedes albopictus
Anopheles gambiae
Drosophila melanogaster
Danio rerio
Apis mellifera
Ciona intestinalis
Homo sapiens
Mus musculus
Aspergillus terreus
Glossina morsitans
Dictyostelium discoideum
Guillardia theta
Thalassiosira pseudonana
Fusarium graminearum
Saccharomyces bayanus
Saccharomyces mikatae
Cryptococcus neoformans
Pyricularia oryzae
Plasmodium yoelii
Saccharomyces paradoxus
Takifugu rubripes
Ciona savignyi
Saccharomyces kudriavzevii
Naumovozyma castellii
Coprinopsis cinerea
Lachancea kluyveri
Ustilago maydis
Rattus norvegicus
Branchiostoma floridae
Bombyx mori
Eremothecium gossypii
Coffea arabica
Felis catus
Cyanidioschyzon merolae
Xenopus tropicalis
Xenopus laevis
Bos taurus
Ovis aries
Sus scrofa
Strongylocentrotus purpuratus
Lachancea waltii
Canis lupus
Coccidioides posadasii
Lotus japonicus
Populus trichocarpa
Sorghum bicolor
Ornithorhynchus anatinus
Eudromia elegans
Apteryx haastii
Pterocnemia pennata
Struthio camelus
Dromaius novaehollandiae
Casuarius casuarius
Ciconia boyciana
Falco peregrinus
Gallus gallus
Meleagris gallopavo
Coturnix japonica
Rhea americana
Equus caballus
Gasterosteus aculeatus
Chlamydomonas reinhardtii
Drosophila yakuba
Tetraodon nigroviridis
[Candida] glabrata
Kluyveromyces lactis
Yarrowia lipolytica
Oreochromis niloticus
Ictalurus punctatus
Debaryomyces hansenii
Oncorhynchus mykiss
Drosophila simulans
Pan troglodytes
Brassica napus
Kazachstania servazzii
Zygosaccharomyces rouxii
Lachancea thermotolerans
Millerozyma farinosa
Candida tropicalis
Macaca mulatta
Tribolium castaneum
Drosophila pseudoobscura
Monodelphis domestica
Beta vulgaris
Phytophthora sojae
Loxodonta africana
Tetrahymena thermophila
Phytophthora ramorum
Sorex araneus
Erinaceus europaeus
Schmidtea mediterranea
Notamacropus eugenii
Echinops telfairi
Dasypus novemcinctus
Schistosoma mansoni
Schistosoma japonicum
Trichinella spiralis
Brassica rapa
Nematostella vectensis
Cavia porcellus
Fasciola hepatica
Histoplasma capsulatum
Drosophila ananassae
Plasmodium reichenowi
Pristionchus pacificus
Neospora caninum
Leishmania infantum
Drosophila erecta
Drosophila willistoni
Caenorhabditis japonica
Caenorhabditis remanei
Caenorhabditis brenneri
Blastomyces dermatitidis
Drosophila grimshawi
Trichomonas vaginalis
Drosophila mojavensis
Meloidogyne hapla
Drosophila virilis
Naegleria gruberi
Drosophila persimilis
Physarum polycephalum
Drosophila sechellia
Paramecium tetraurelia
Meyerozyma guilliermondii
Acanthamoeba castellanii
Perkinsus marinus
Meloidogyne incognita
Clavispora lusitaniae
Petromyzon marinus
Daphnia pulex
Phytophthora infestans
Blastocystis hominis
Cyanophora paradoxa
Chaetomium globosum
Euglena gracilis
Oryctolagus cuniculus
Lodderomyces elongisporus
Coccidioides immitis
Rhizopus oryzae
Trichoderma reesei
Uncinocarpus reesii
Pongo abelii
Allomyces macrogynus
Ichthyophthirius multifiliis
Ancylostoma caninum
Paracoccidioides brasiliensis
Paxillus involutus
Scheffersomyces stipitis
Komagataella pastoris
Pisolithus microcarpus
Puccinia graminis
Saccharomyces pastorianus
Schizophyllum commune
Spizellomyces punctatus
Sterkiella histriomuscorum
Ancylostoma duodenale
Ascaris suum
Helianthus annuus
Saccoglossus kowalevskii
Aspergillus flavus
Lactuca sativa
Trichoplax adhaerens
Biomphalaria glabrata
Malus domestica
Cryptococcus gattii
Canis lupus
Lemur catta
Taeniopygia guttata
Oikopleura dioica
Salmo salar
Entamoeba dispar
Ostreococcus tauri
Entamoeba invadens
Phaseolus vulgaris
Ambystoma mexicanum
Physcomitrella patens
Prunus persica
Culex quinquefasciatus
Papio anubis
Crassostrea virginica
Vitis vinifera
Secale cereale
Solanum tuberosum
Ostreococcus lucimarinus
Selaginella moellendorffii
Galdieria sulphuraria
Volvox carteri
Phaeodactylum tricornutum
Candida dubliniensis
Cryptosporidium hominis
Nicotiana tabacum
Aureococcus anophagefferens
Manihot esculenta
Aplysia californica
Schizosaccharomyces octosporus
